epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.861,1.40002,2.28585,1.40745,0,0,0,0,4.78425,inf,439.8,0.000472331,0.000472331,0.000472331
2,201.682,1.599,1.67525,1.53998,0.89644,0.78904,0.86644,0.63793,1.03199,190.927,1.11897,0.000936142,0.000936142,0.000936142
3,303.851,1.58256,1.64251,1.54836,0.79946,0.72727,0.77648,0.4129,1.44128,4.66209,1.28538,0.00138738,0.00138738,0.00138738
4,404.872,1.5344,1.46178,1.48274,0.65435,0.69031,0.74318,0.46013,1.19891,1.53953,1.27314,0.00137241,0.00137241,0.00137241
5,505.108,1.48549,1.42006,1.46663,0.99063,0.72727,0.88186,0.6643,1.00381,1.00638,1.06459,0.00135355,0.00135355,0.00135355
6,606.086,1.43712,1.2907,1.43623,0.81917,0.90909,0.88164,0.63558,0.97603,0.8658,0.99072,0.00133469,0.00133469,0.00133469
7,702.408,1.39351,1.2306,1.4004,0.87249,0.90909,0.93168,0.73281,0.87091,0.82445,0.98103,0.00131582,0.00131582,0.00131582
8,804.601,1.37726,1.21404,1.38233,0.90598,0.90909,0.93256,0.6961,0.80582,0.96649,0.98934,0.00129696,0.00129696,0.00129696
9,902.803,1.34981,1.10963,1.34208,1,0.88537,0.98115,0.70569,0.91345,0.97429,1.01459,0.0012781,0.0012781,0.0012781
10,1004.86,1.33032,1.10417,1.35064,0.99071,1,0.995,0.79505,0.80887,0.56491,0.93442,0.00125923,0.00125923,0.00125923
11,1106.17,1.32993,1.10435,1.3426,1,0.90467,0.995,0.81853,0.65133,0.65592,0.88544,0.00124037,0.00124037,0.00124037
12,1208.19,1.31933,1.06718,1.34484,0.98751,1,0.995,0.75808,0.86123,0.65558,0.92456,0.00122151,0.00122151,0.00122151
13,1310.04,1.28386,0.9867,1.30863,0.98322,0.90909,0.9875,0.78827,0.79008,0.66559,0.91168,0.00120265,0.00120265,0.00120265
14,1407.34,1.26591,1.01214,1.30867,0.99321,1,0.995,0.71097,1.01207,0.756,0.97025,0.00118378,0.00118378,0.00118378
15,1508.6,1.25974,0.99354,1.29721,1,0.81763,0.93807,0.6714,1.10478,0.79238,1.02256,0.00116492,0.00116492,0.00116492
16,1609.32,1.23895,0.94974,1.28755,0.99202,1,0.995,0.74552,0.92419,0.59297,0.95318,0.00114606,0.00114606,0.00114606
17,1710.06,1.20499,0.91281,1.26078,0.99502,1,0.995,0.8144,0.74779,0.50554,0.88215,0.0011272,0.0011272,0.0011272
18,1813.3,1.22417,0.92819,1.28377,0.99193,1,0.995,0.7234,1.03785,0.60849,0.96747,0.00110833,0.00110833,0.00110833
19,1914.28,1.22936,0.90847,1.28361,1,0.90773,0.98115,0.79659,0.73556,0.61165,0.9081,0.00108947,0.00108947,0.00108947
20,2010.76,1.21224,0.88099,1.27889,1,0.97074,0.995,0.77319,0.78724,0.51411,0.89295,0.00107061,0.00107061,0.00107061
21,2111.8,1.17392,0.85082,1.25835,1,0.98547,0.995,0.73968,0.89179,0.51704,0.94645,0.00105174,0.00105174,0.00105174
22,2211.71,1.20937,0.87554,1.26844,0.98607,1,0.995,0.80431,0.78269,0.49388,0.90148,0.00103288,0.00103288,0.00103288
23,2307.96,1.16798,0.84868,1.24161,0.98967,1,0.995,0.75105,0.96086,0.51877,0.91856,0.00101402,0.00101402,0.00101402
24,2404.52,1.16074,0.83006,1.24627,0.90412,1,0.9875,0.80741,0.84545,0.53014,0.92259,0.000995156,0.000995156,0.000995156
25,2500.83,1.16769,0.83447,1.25052,0.96387,1,0.995,0.81241,0.75105,0.49235,0.87447,0.000976293,0.000976293,0.000976293
26,2600.56,1.15837,0.79768,1.21965,0.98496,1,0.995,0.77561,0.86243,0.53986,0.90901,0.00095743,0.00095743,0.00095743
27,2701.17,1.14776,0.79903,1.21859,0.91611,0.9933,0.98,0.8396,0.67882,0.51703,0.89888,0.000938567,0.000938567,0.000938567
28,2802.72,1.14138,0.77781,1.22266,0.99256,1,0.995,0.85526,0.67467,0.47392,0.85119,0.000919704,0.000919704,0.000919704
29,2908.12,1.14178,0.78404,1.21742,0.84429,0.9868,0.97297,0.80517,0.75901,0.67655,0.89367,0.000900842,0.000900842,0.000900842
30,3004.75,1.12919,0.75961,1.21962,0.98898,1,0.995,0.75646,0.94841,0.55138,0.90841,0.000881979,0.000881979,0.000881979
31,3100.68,1.13758,0.77237,1.21889,0.99158,1,0.995,0.79764,0.84397,0.50436,0.9228,0.000863116,0.000863116,0.000863116
32,3200.87,1.1005,0.73572,1.21363,0.99492,1,0.995,0.81868,0.79992,0.44554,0.87986,0.000844253,0.000844253,0.000844253
33,3301.24,1.11674,0.74823,1.20627,0.97906,1,0.995,0.81347,0.74173,0.44901,0.90794,0.00082539,0.00082539,0.00082539
34,3401.9,1.09505,0.72695,1.20536,0.9948,1,0.995,0.77201,0.88699,0.57159,0.91083,0.000806528,0.000806528,0.000806528
35,3499.55,1.09616,0.73189,1.20031,0.98536,1,0.995,0.86412,0.63786,0.49109,0.84585,0.000787665,0.000787665,0.000787665
36,3605.13,1.10827,0.71656,1.19643,0.89834,1,0.9875,0.75892,0.83009,0.62418,0.96583,0.000768802,0.000768802,0.000768802
37,3701.52,1.07846,0.69108,1.18573,0.9643,1,0.995,0.85017,0.71348,0.44455,0.91317,0.000749939,0.000749939,0.000749939
38,3801.06,1.07502,0.6875,1.18135,0.98619,1,0.995,0.81143,0.72428,0.45251,0.86716,0.000731076,0.000731076,0.000731076
39,3901.53,1.06212,0.67077,1.16003,0.98227,1,0.995,0.82,0.70236,0.41862,0.86118,0.000712214,0.000712214,0.000712214
40,4002.07,1.07709,0.67261,1.18752,0.99221,1,0.995,0.80795,0.74722,0.44147,0.87139,0.000693351,0.000693351,0.000693351
41,4099.86,1.07443,0.69729,1.19847,1,0.99266,0.995,0.82676,0.69796,0.4971,0.85624,0.000674488,0.000674488,0.000674488
42,4196.11,1.05012,0.65477,1.16516,0.96779,1,0.995,0.85442,0.62661,0.45805,0.8351,0.000655625,0.000655625,0.000655625
43,4292.6,1.03248,0.64514,1.16196,0.99055,1,0.995,0.82121,0.66088,0.39163,0.8393,0.000636762,0.000636762,0.000636762
44,4393.05,1.04882,0.64722,1.16972,0.96543,1,0.995,0.81646,0.648,0.43086,0.839,0.0006179,0.0006179,0.0006179
45,4490.43,1.04306,0.64852,1.17138,1,0.99013,0.995,0.81826,0.78027,0.44007,0.8945,0.000599037,0.000599037,0.000599037
46,4591.73,1.02072,0.63798,1.14927,0.99142,1,0.995,0.80774,0.73176,0.43554,0.89423,0.000580174,0.000580174,0.000580174
47,4688.51,1.00306,0.60679,1.14312,0.98437,1,0.995,0.85757,0.6237,0.35775,0.85063,0.000561311,0.000561311,0.000561311
48,4784.84,1.01067,0.61338,1.14639,0.98527,1,0.995,0.87142,0.58869,0.37825,0.85057,0.000542448,0.000542448,0.000542448
49,4888.05,1.00817,0.61331,1.14252,0.99144,1,0.995,0.84046,0.6879,0.40778,0.85578,0.000523586,0.000523586,0.000523586
50,4989.25,1.00388,0.62011,1.13946,0.90829,1,0.9725,0.84476,0.64378,0.45177,0.84609,0.000504723,0.000504723,0.000504723
51,5089.68,1.00086,0.61319,1.13915,0.98926,1,0.995,0.83766,0.66346,0.39743,0.8669,0.00048586,0.00048586,0.00048586
52,5190.25,0.98154,0.59716,1.13365,0.99786,1,0.995,0.86211,0.6067,0.36614,0.82804,0.000466997,0.000466997,0.000466997
53,5290.29,0.98317,0.59077,1.13031,0.91688,1,0.995,0.81698,0.67007,0.40683,0.84508,0.000448134,0.000448134,0.000448134
54,5386.66,0.97444,0.57832,1.13568,0.99002,1,0.995,0.849,0.64828,0.39469,0.83895,0.000429272,0.000429272,0.000429272
55,5488.03,0.96989,0.58914,1.12355,0.99103,1,0.995,0.85205,0.62755,0.3591,0.84769,0.000410409,0.000410409,0.000410409
56,5589.23,0.95668,0.57833,1.11952,0.99427,1,0.995,0.82154,0.69883,0.41442,0.84888,0.000391546,0.000391546,0.000391546
57,5689.86,0.94185,0.55068,1.1077,0.98935,1,0.995,0.87059,0.55808,0.3581,0.82039,0.000372683,0.000372683,0.000372683
58,5790,0.96139,0.56885,1.11789,0.97754,1,0.995,0.8562,0.6116,0.35662,0.83624,0.00035382,0.00035382,0.00035382
59,5888.66,0.93565,0.55458,1.10525,0.99033,1,0.995,0.85773,0.63326,0.37505,0.83169,0.000334958,0.000334958,0.000334958
60,5984.59,0.94382,0.54676,1.1196,1,0.99028,0.995,0.83717,0.68452,0.49088,0.85233,0.000316095,0.000316095,0.000316095
61,6085.05,0.9185,0.55723,1.1052,0.99897,1,0.995,0.86376,0.64516,0.38532,0.86188,0.000297232,0.000297232,0.000297232
62,6182.69,0.90344,0.53846,1.09472,0.99382,1,0.995,0.86043,0.62008,0.33725,0.83611,0.000278369,0.000278369,0.000278369
63,6283.47,0.90066,0.52173,1.09544,0.99008,1,0.995,0.86137,0.61887,0.35908,0.84116,0.000259506,0.000259506,0.000259506
64,6384.22,0.88385,0.52147,1.07999,0.99232,1,0.995,0.8686,0.65819,0.37166,0.8515,0.000240644,0.000240644,0.000240644
65,6482.75,0.90094,0.52941,1.08771,0.9078,1,0.9875,0.84772,0.61746,0.38977,0.83814,0.000221781,0.000221781,0.000221781
66,6585.86,0.89816,0.47116,1.05602,0.99033,1,0.995,0.86308,0.59731,0.34157,0.8347,0.000202918,0.000202918,0.000202918
67,6682.86,0.89335,0.46299,1.05051,0.99209,1,0.995,0.85742,0.66088,0.35226,0.85574,0.000184055,0.000184055,0.000184055
68,6783.52,0.85703,0.45124,1.0467,0.99044,1,0.995,0.8498,0.6846,0.36359,0.86863,0.000165192,0.000165192,0.000165192
69,6884.23,0.8568,0.44455,1.04223,0.98964,1,0.995,0.86138,0.63996,0.34058,0.85311,0.00014633,0.00014633,0.00014633
70,6986.49,0.84765,0.44191,1.02998,0.99109,1,0.995,0.86959,0.58182,0.34346,0.83105,0.000127467,0.000127467,0.000127467
71,7089.37,0.84114,0.43155,1.02419,0.99245,1,0.995,0.86718,0.61791,0.32041,0.84078,0.000108604,0.000108604,0.000108604
72,7191.18,0.83201,0.42459,1.02515,0.99098,1,0.995,0.86656,0.59704,0.3302,0.83383,8.97412e-05,8.97412e-05,8.97412e-05
73,7288.4,0.82126,0.4245,1.01623,0.99248,1,0.995,0.86732,0.61176,0.34498,0.84194,7.08784e-05,7.08784e-05,7.08784e-05
74,7391.35,0.81271,0.41261,1.00153,0.99278,1,0.995,0.88199,0.6083,0.33713,0.83949,5.20156e-05,5.20156e-05,5.20156e-05
75,7491.5,0.80918,0.41756,1.01605,0.9929,1,0.995,0.85172,0.64686,0.33737,0.85562,3.31528e-05,3.31528e-05,3.31528e-05
