epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.305,1.10797,2.13097,1.28904,0,0,0,0,nan,nan,nan,0.000470379,0.000470379,0.000470379
2,211.044,1.29582,1.6047,1.42562,0.47918,0.63636,0.53153,0.23838,1.49226,20.2165,2.24171,0.000934216,0.000934216,0.000934216
3,325.057,1.31589,1.46248,1.42942,0.72967,0.81818,0.87972,0.57694,1.18067,3.27487,1.38044,0.00138548,0.00138548,0.00138548
4,441.443,1.2835,1.43418,1.43973,0.3997,0.18182,0.24165,0.08511,2.67412,3.738,2.30357,0.00137241,0.00137241,0.00137241
5,556.433,1.26287,1.36818,1.39614,0.71497,0.27273,0.31206,0.14887,2.48645,2.11861,1.92897,0.00135355,0.00135355,0.00135355
6,671.338,1.22274,1.25796,1.38433,0.77623,0.36364,0.53244,0.30861,1.66274,1.9124,1.51649,0.00133469,0.00133469,0.00133469
7,784.648,1.16292,1.12023,1.33301,1,0.72287,0.89725,0.54501,1.3426,1.01313,1.15807,0.00131582,0.00131582,0.00131582
8,893.505,1.0867,1.00026,1.27397,0.8958,1,0.98,0.75355,0.96683,0.76462,1.07771,0.00129696,0.00129696,0.00129696
9,1003.89,1.03518,1.00136,1.24647,0.99371,1,0.995,0.76707,0.85949,0.713,1.00419,0.0012781,0.0012781,0.0012781
10,1117.03,1.02687,0.96835,1.25515,0.95472,0.81818,0.94116,0.66991,0.87181,0.8771,1.00903,0.00125923,0.00125923,0.00125923
11,1254.4,1.0067,0.92301,1.24253,1,0.98762,0.995,0.77809,0.84084,0.661,0.95921,0.00124037,0.00124037,0.00124037
12,1369.4,0.96607,0.90248,1.21913,0.82823,0.90909,0.92438,0.76881,0.84641,0.96609,1.00385,0.00122151,0.00122151,0.00122151
13,1484.58,0.9431,0.85939,1.20415,0.86262,0.81818,0.92239,0.71352,0.8219,0.7571,0.95855,0.00120265,0.00120265,0.00120265
14,1593.47,0.94965,0.80184,1.1821,0.99171,1,0.995,0.81585,0.76066,0.59963,0.91776,0.00118378,0.00118378,0.00118378
15,1708.7,0.94056,0.81419,1.19488,1,0.98747,0.995,0.81342,0.8107,0.61976,0.94988,0.00116492,0.00116492,0.00116492
16,1824.62,0.91142,0.81869,1.18033,0.9977,1,0.995,0.82186,0.76323,0.53089,0.93996,0.00114606,0.00114606,0.00114606
17,1941.72,0.93612,0.79666,1.1922,0.88123,0.81818,0.86826,0.67096,0.76804,1.28428,1.00009,0.0011272,0.0011272,0.0011272
18,2056.09,0.89264,0.76246,1.16828,0.99082,0.81818,0.83424,0.62988,1.10076,1.13164,1.18104,0.00110833,0.00110833,0.00110833
19,2159.2,0.86564,0.7118,1.13475,0.98937,1,0.995,0.78156,0.84977,0.55568,0.94291,0.00108947,0.00108947,0.00108947
20,2269.47,0.8742,0.75023,1.13639,0.91089,0.93074,0.9875,0.76364,0.84899,0.53846,0.93131,0.00107061,0.00107061,0.00107061
21,2378.34,0.84134,0.70184,1.12241,0.9892,1,0.995,0.81377,0.75191,0.5032,0.9188,0.00105174,0.00105174,0.00105174
22,2489.92,0.84094,0.69404,1.13192,0.99195,1,0.995,0.7815,0.89643,0.58019,0.95838,0.00103288,0.00103288,0.00103288
23,2603.28,0.81412,0.69955,1.10875,0.89838,1,0.9875,0.78352,0.74919,0.56918,0.90323,0.00101402,0.00101402,0.00101402
24,2711.39,0.82366,0.64587,1.1207,0.98559,1,0.995,0.80478,0.83215,0.53491,0.91993,0.000995156,0.000995156,0.000995156
25,2817.92,0.80456,0.67029,1.10594,0.99412,1,0.995,0.84875,0.71967,0.46037,0.87434,0.000976293,0.000976293,0.000976293
26,2930.66,0.816,0.67032,1.11455,0.98958,1,0.995,0.84721,0.75497,0.50919,0.86419,0.00095743,0.00095743,0.00095743
27,3038.09,0.80474,0.65539,1.11901,0.98168,1,0.995,0.79856,0.88534,0.50804,0.9094,0.000938567,0.000938567,0.000938567
28,3142.08,0.79156,0.66522,1.10418,0.99107,1,0.995,0.8168,0.76287,0.48755,0.88395,0.000919704,0.000919704,0.000919704
29,3245.48,0.80733,0.6428,1.1126,0.9787,1,0.995,0.84146,0.69067,0.53844,0.908,0.000900842,0.000900842,0.000900842
30,3348.46,0.7775,0.62897,1.09864,0.99272,1,0.995,0.82627,0.78435,0.5247,0.88874,0.000881979,0.000881979,0.000881979
31,3457.32,0.76517,0.61035,1.09997,0.9156,0.98719,0.9875,0.85969,0.64834,0.49065,0.839,0.000863116,0.000863116,0.000863116
32,3570.41,0.78561,0.62108,1.10423,1,0.97886,0.995,0.81716,0.75107,0.49379,0.88521,0.000844253,0.000844253,0.000844253
33,3677.7,0.73818,0.58829,1.09456,0.9902,1,0.995,0.84822,0.64963,0.41559,0.84693,0.00082539,0.00082539,0.00082539
